Region	Food	Housing	Transportation	Education	Recreation
Seoul	117.8	113.9	118.3	121.6	115.4       
Busan	123.3	110.6	118.9	124.0	116.7
Daegu	119.5	109.3	120.9	122.0	115.9
Incheon	117.9	115.9	117.9	123.8	116.5
Gwangju	119.7	111.9	119.6	124.4	115.7
Daejeon	119.7	111.7	119.5	123.3	116.3
Ulsan	120.3	118.5	120.1	121.7	116.5
Gyeonggi	120.0	114.4	120.3	124.9	113.6
Gangwon	119.1	111.5	118.9	122.5	115.2          
Chungbuk	120.7	111.4	120.4	123.5	119.2
Chungnam	119.7	113.0	121.8	123.8	116.8
Jeonbuk	120.9	111.9	120.1	124.3	119.1
Jeonanam	121.2	112.7	120.1	123.3	116.3 
Gyeongbuk	122.8	111.9	120.4	120.1	116.3
Gyeongnam	121.2	111.3	119.1	126.5	114.3
Jeju	120.2	109.3	118.1	122.6	113.9
