 X   Y   Z         
165 154 169
165 160 172
168 157 170
163 158 170
170 163 174
170 158 176
172 157 175
176 158 172
169 158 173
170 160 160
175 158 177
170 158 170
165 157 181
170 157 175
162 158 173
172 155 169
167 155 171
172 160 178
165 155 168
175 158 170
175 160 175
167 154 170
169 160 174
178 142 179
170 160 183
174 160 180
165 162 174
170 160 173
185 165 188
176 164 182
170 160 173
163 152 178
165 160 182
187 165 186
171 150 170
175 160 172
174 158 182
175 157 174
185 170 169
173 165 183
173 155 160
172 159 158
170 159 173
168 158 170
164 160 169       
174 158 170
170 156 170
165 163 167
165 155 170
168 163 170
160 163 172
165 164 173
172 155 175
173 162 180
170 159 183
168 162 172
170 155 172
165 154 172
168 160 176
170 163 178
180 153 168
170 163 183
170 160 178
176 160 176
