father	mother	child	sex
167	158	172	m
180	165	175	m
173	162	179	m
163	164	170	m
174	158	170	m
178	167	166	f
172	162	166	f
168	155	158	f
167	158	154	f
190	170	177	m
180	160	170	m
170	167	175	m
170	160	157	f
167	154	153	f
174	165	178	m
167	167	158	f
177	158	180	m
180	161	180	m
175	159	163	f
175	158	162	f
165	153	158	f
174	162	165	f
175	164	163	f
175	165	180	m
180	163	178	m
170	162	162	f
172	151	172	m
171	172	182	m
176	158	166	f
173	160	155	f
172	163	160	f
173	162	158	f
168	149	150	f
168	154	154	f
177	158	167	f
168	167	170	m
173	158	179	m
172	160	162	f
178	167	165	f
174	162	163	f
173	158	160	f
173	156	170	m
173	160	170	m
170	163	175	m
180	158	179	m
170	155	155	f
168	157	163	f
172	170	166	f
169	170	180	m
173	158	176	m
178	158	173	m
169	161	178	m
178	164	170	m
